DGA_Family,Num_of_records
randomloader_dga.csv,5
dnsbenchmark_dga.csv,5
omexo_dga.csv,20
qhost_dga.csv,23
redyms_dga.csv,34
ccleaner_dga.csv,40
gspy_dga.csv,49
darkshell_dga.csv,49
tsifiri_dga.csv,59
ud3_dga.csv,60
xshellghost_dga.csv,64
dmsniff_dga.csv,100
chir_dga.csv,100
ud4_dga.csv,100
downloader_dga.csv,120
hesperbot_dga.csv,178
feodo_dga.csv,192
tempedreve_dga.csv,204
beebone_dga.csv,210
bobax_dga.csv,300
vidrotid_dga.csv,300
goznym_dga.csv,364
modpack_dga.csv,428
madmax_dga.csv,480
volatilecedar_dga.csv,498
makloader_dga.csv,512
dircrypt_dga.csv,1150
mirai_dga.csv,1451
tempedrevetdd_dga.csv,1748
pykspa2_dga.csv,1880
ebury_dga.csv,2000
fobber_dga.csv,2000
shifu_dga.csv,2331
vawtrak_dga.csv,2700
ekforward_dga.csv,3654
tofsee_dga.csv,4260
xxhex_dga.csv,4400
ud2_dga.csv,4880
blackhole_dga.csv,5848
pushdotid_dga.csv,6000
ramdo_dga.csv,6000
pykspa2s_dga.csv,9960
diamondfox_dga.csv,14640
infy_dga.csv,15720
simda_dga.csv,18000
szribi_dga.csv,25456
urlzone_dga.csv,34017
bedep_dga.csv,36466
nymaim2_dga.csv,46912
pandabanker_dga.csv,52632
torpig_dga.csv,60144
sutra_dga.csv,78921
wd_dga.csv,87840
sisron_dga.csv,102500
tinynuke_dga.csv,105600
tinba_dga.csv,121047
vidro_dga.csv,151500
matsnu_dga.csv,153171
mydoom_dga.csv,164400
sphinx_dga.csv,187264
rovnix_dga.csv,190000
ramnit_dga.csv,203248
proslikefan_dga.csv,218010
gozi_dga.csv,239138
padcrypt_dga.csv,245952
symmi_dga.csv,289184
bamital_dga.csv,347256
oderoor_dga.csv,350298
emotet_dga.csv,392064
banjori_dga.csv,452235
pushdo_dga.csv,462780
gameover_p2p.csv,600000
murofetweekly_dga.csv,604000
qadars_dga.csv,634000
corebot_dga.csv,712920
chinad_dga.csv,748800
pitou_dga.csv,749840
nymaim_dga.csv,1164150
dnschanger_dga.csv,1500000
suppobox_dga.csv,1536957
ranbyus_dga.csv,1607760
monerominer_dga.csv,1825000
locky_dga.csv,1931932
pykspa_dga.csv,1997800
dyre_dga.csv,2042000
conficker_dga.csv,2084500
qsnatch_dga.csv,2203776
cryptolocker_dga.csv,2558000
qakbot_dga.csv,4640000
necurs_dga.csv,13817988
gameover_dga.csv,22110000
virut_dga.csv,25580000
murofet_dga.csv,27616680
